,Ages,Gender,Income,Race,Government,County,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days
77,14.0,1.0,2.0,1.0,0.0,2,0.0,10,0,0,0,0,0
78,57.5,0.0,1.0,7.0,0.0,3,1.0,19,24,2,1,19,0
79,22.5,0.0,2.0,1.0,1.0,3,1.0,0,4,0,0,0,0
80,42.5,1.0,3.0,7.0,0.0,3,1.0,0,208,8,1,20,0
81,42.5,1.0,1.0,1.0,1.0,2,1.0,0,208,2,1,15,0
82,27.5,0.0,1.0,1.0,0.0,1,1.0,18,48,6,0,0,0
83,70.0,0.0,3.0,1.0,0.0,1,1.0,16,120,1,0,0,0
84,24.5,0.0,1.0,1.0,0.0,2,1.0,0,7,0,0,0,0
85,27.5,0.0,1.0,1.0,1.0,1,1.0,12,0,0,0,0,0
86,16.0,0.0,4.0,1.0,0.0,1,0.0,18,0,0,0,0,0
87,42.5,0.0,4.0,1.0,0.0,3,1.0,13,48,1,0,0,0
88,15.0,1.0,4.0,1.0,0.0,2,0.0,0,0,0,0,0,0
89,42.5,1.0,1.0,6.0,1.0,2,1.0,22,180,5,1,18,0
90,22.5,1.0,2.0,7.0,0.0,3,1.0,0,0,0,1,16,0
91,13.0,1.0,2.0,5.0,0.0,2,0.0,17,0,0,0,0,0
92,42.5,0.0,4.0,1.0,0.0,2,0.0,0,0,0,0,0,0
93,22.5,0.0,1.0,1.0,0.0,1,1.0,24,156,1,0,0,0
94,27.5,1.0,3.0,2.0,0.0,2,0.0,16,0,0,0,0,0
95,24.5,1.0,4.0,7.0,0.0,3,1.0,0,10,6,1,20,156
96,42.5,0.0,3.0,2.0,0.0,2,0.0,14,0,0,0,0,0
97,15.0,1.0,2.0,2.0,0.0,1,0.0,16,0,0,0,0,0
98,14.0,0.0,3.0,1.0,0.0,1,0.0,0,0,0,0,0,0
99,15.0,1.0,4.0,1.0,0.0,1,0.0,18,0,0,0,0,0
100,16.0,0.0,2.0,1.0,0.0,1,1.0,0,1,0,1,NaN,NaN
101,70.0,1.0,1.0,1.0,0.0,2,1.0,21,364,7,1,43,0
102,57.5,0.0,3.0,1.0,0.0,1,1.0,16,364,2,1,26,0
103,57.5,1.0,4.0,1.0,0.0,2,1.0,16,72,2,1,15,0
104,20.0,1.0,2.0,5.0,0.0,2,0.0,0,0,0,0,0,0
105,15.0,0.0,3.0,1.0,0.0,1,0.0,0,0,0,0,0,0
106,24.5,1.0,3.0,7.0,0.0,2,1.0,0,72,3,1,18,0
107,42.5,1.0,2.0,1.0,1.0,2,1.0,0,60,2,1,17,0
108,21.0,0.0,1.0,2.0,1.0,2,1.0,21,5,1,0,0,0
109,57.5,0.0,1.0,6.0,1.0,1,1.0,0,36,3,1,19,0
110,32.5,1.0,1.0,2.0,1.0,2,1.0,16,0,0,1,6,0
111,57.5,1.0,4.0,1.0,0.0,3,1.0,0,0,0,1,20,0
112,16.0,1.0,4.0,3.0,0.0,1,0.0,0,0,0,0,0,0
113,15.0,0.0,4.0,2.0,0.0,1,1.0,NaN,36,1,0,0,0
114,21.0,0.0,2.0,2.0,1.0,1,1.0,25,8,NaN,0,0,0
115,42.5,0.0,2.0,1.0,0.0,1,1.0,13,208,2,1,14,0
116,16.0,1.0,2.0,1.0,0.0,2,0.0,17,0,0,0,0,0
117,15.0,1.0,4.0,1.0,0.0,2,0.0,0,0,0,0,0,0
118,16.0,0.0,4.0,1.0,0.0,3,1.0,0,12,0,1,15,48
119,13.0,1.0,1.0,7.0,0.0,1,0.0,18,0,0,0,0,0
120,18.0,1.0,2.0,5.0,1.0,2,1.0,27,5,3,1,18,3
121,57.5,0.0,2.0,1.0,0.0,3,1.0,13,72,6,1,18,0
122,12.0,0.0,2.0,7.0,0.0,3,0.0,0,0,0,0,0,0
123,17.0,0.0,2.0,1.0,0.0,1,0.0,10,0,0,0,0,0
124,42.5,1.0,4.0,2.0,0.0,2,1.0,0,12,2,0,0,0
125,27.5,0.0,3.0,7.0,0.0,1,1.0,18,24,3,0,0,0
126,14.0,1.0,4.0,1.0,0.0,3,0.0,14,0,0,0,0,0
127,24.5,1.0,4.0,1.0,0.0,1,1.0,24,260,3,1,21,0
128,32.5,1.0,2.0,7.0,0.0,2,1.0,18,48,1,0,0,0
129,24.5,0.0,1.0,2.0,1.0,3,1.0,43,104,0,0,0,0
130,57.5,1.0,2.0,1.0,0.0,2,1.0,19,365,8,1,16,156
131,16.0,0.0,3.0,3.0,0.0,2,0.0,0,0,0,0,0,0
132,27.5,1.0,4.0,1.0,0.0,2,1.0,0,156,3,0,0,0
133,12.0,0.0,3.0,1.0,0.0,1,0.0,0,0,0,0,0,0
134,42.5,1.0,1.0,7.0,1.0,3,1.0,11,0,0,0,0,0
135,42.5,1.0,2.0,1.0,0.0,1,1.0,0,24,0,1,15,0
