,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cigs Per Day,Cig Everyday Use Age
69,18.0,1,4,1,0,1.0,2,1,18,340,6,1,12,0,0,0,1,30,14
70,57.5,1,4,7,0,1.0,1,1,NaN,312,2,1,18,0,0,0,1,0,20
71,17.0,1,4,1,0,2.0,99,1,0,1,0,1,16,15,0,0,0,0,0
72,17.0,0,3,1,0,2.0,99,1,18,3,0,0,0,0,0,0,0,0,0
73,17.0,1,4,2,0,1.0,99,0,18,0,0,0,0,0,0,0,0,0,0
74,22.5,1,1,1,1,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0
75,42.5,1,1,1,1,2.0,1,0,0,0,0,1,21,0,0,0,1,30,19
76,42.5,1,2,1,0,1.0,1,1,25,260,10,1,14,0,0,0,1,30,14
77,42.5,1,4,1,0,2.0,1,1,10,208,2,1,22,0,0,0,1,0,21
78,32.5,1,2,6,1,3.0,2,1,19,Not sure,Not sure,1,16,0,0,0,1,0,0
79,24.5,0,4,7,0,3.0,1,1,0,24,3,0,0,0,0,0,0,0,0
80,13.0,0,2,7,0,3.0,99,0,0,0,0,0,0,0,0,0,0,0,0
81,15.0,1,4,1,0,2.0,99,1,0,4,0,1,12,156,0,0,1,0,0
82,32.5,0,4,1,0,1.0,1,1,18,48,2,1,20,0,0,0,1,0,0
83,24.5,0,1,1,1,1.0,1,1,16,10,0,1,15,0,0,0,1,10,15
84,42.5,1,2,1,1,2.0,1,1,0,0,0,1,21,0,0,0,0,0,0
85,19.0,0,1,7,1,1.0,4,1,12,20,0,1,19,152,0,0,1,9,0
86,57.5,0,3,1,0,1.0,2,1,18,0,0,0,0,0,0,0,0,0,0
87,16.0,0,2,1,0,3.0,99,0,13,0,0,0,0,0,0,0,0,0,0
88,42.5,0,3,1,0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,18
89,42.5,0,4,1,0,2.0,2,1,22,156,3,1,14,0,0,0,1,0,0
90,70.0,0,2,5,0,3.0,4,0,0,0,0,0,0,0,0,0,0,0,0
91,57.5,0,1,7,0,2.0,4,0,17,0,0,0,0,0,0,0,0,0,0
92,27.5,0,3,7,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0
93,57.5,1,1,2,1,1.0,4,1,24,60,0,1,18,4,1,0,0,0,0
94,32.5,0,2,1,1,2.0,4,1,16,0,0,0,0,0,0,0,1,0,15
95,70.0,0,1,1,1,3.0,4,0,0,0,0,1,15,0,0,0,1,30,14
96,32.5,0,1,1,1,2.0,3,1,14,0,0,1,14,30,1,0,1,30,22
97,24.5,0,1,7,1,1.0,1,1,16,208,0,0,0,0,0,0,0,0,0
98,32.5,1,4,1,0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0
99,22.5,0,2,1,0,1.0,1,1,18,104,1,1,21,0,0,0,1,0,0
100,42.5,0,2,7,0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0
101,19.0,1,1,1,0,2.0,4,1,21,6,0,0,0,0,0,0,0,0,0
102,17.0,1,4,5,0,1.0,99,0,16,0,0,0,0,0,0,0,0,0,0
103,27.5,1,4,1,0,2.0,1,1,16,48,2,1,19,0,1,0,1,0,0
104,57.5,1,1,1,1,2.0,4,0,0,0,0,0,0,0,0,0,0,0,0
105,57.5,0,4,2,0,1.0,4,1,0,30,1,1,15,0,0,0,1,0,18
106,70.0,0,3,1,0,2.0,4,1,0,180,1,1,20,0,0,0,1,0,0
107,32.5,0,1,1,1,2.0,2,1,0,24,1,0,0,0,1,0,0,0,0
108,42.5,1,4,1,0,2.0,1,1,21,150,2,1,18,0,1,0,1,0,18
109,27.5,1,4,1,0,1.0,1,1,0,216,2,1,12,363,1,0,1,15,18
110,21.0,1,4,1,0,2.0,1,1,16,48,2,1,14,36,0,0,1,5,16
111,57.5,0,4,1,0,3.0,4,1,0,104,3,1,16,0,0,0,1,0,17
112,22.5,1,1,2,1,1.0,4,1,0,60,5,1,15,364,0,0,1,30,17
113,20.0,0,1,1,0,1.0,2,1,NaN,84,6,1,18,0,0,0,0,0,0
114,42.5,0,4,2,0,1.0,1,1,25,156,1,1,19,12,0,0,1,0,0
115,57.5,1,4,1,0,1.0,1,1,13,48,2,1,14,0,0,0,1,0,14
116,42.5,0,4,1,0,2.0,1,1,17,156,1,1,21,0,0,0,1,30,21
117,13.0,1,4,1,0,2.0,99,0,0,0,0,0,0,0,NaN,0,0,0,0
118,16.0,0,2,1,0,3.0,99,1,0,38,0,1,15,0,1,0,1,30,16
119,42.5,0,4,1,0,1.0,1,1,18,10,0,1,15,72,0,0,1,0,16
120,21.0,0,2,1,0,2.0,2,1,27,4,1,0,0,0,0,0,0,0,0
121,27.5,1,2,1,0,3.0,1,1,13,156,4,0,0,0,0,0,1,0,24
122,14.0,0,4,1,0,3.0,99,0,0,0,0,0,0,0,0,0,0,0,0
123,17.0,1,4,1,0,1.0,99,1,10,12,3,1,16,33,0,0,1,0,0
124,24.5,1,2,1,0,2.0,1,1,0,8,1,0,0,0,0,0,0,0,0
125,70.0,0,2,1,0,1.0,4,0,18,0,0,0,0,0,0,0,1,0,0
126,12.0,1,4,1,0,3.0,99,0,14,0,0,0,0,0,0,0,0,0,0
127,15.0,1,3,7,0,1.0,99,0,24,0,0,0,0,0,0,0,0,0,0
128,16.0,1,1,7,1,2.0,99,1,18,0,0,1,12,0,0,0,1,0,0
129,42.5,0,2,1,1,3.0,4,1,43,0,0,1,23,0,1,0,1,0,0
130,42.5,1,1,1,0,2.0,1,0,19,0,0,0,0,0,0,0,0,0,0
131,21.0,1,1,1,0,2.0,2,1,0,72,2,0,0,0,0,0,0,0,0
132,13.0,1,2,1,1,2.0,99,1,0,52,0,0,0,0,0,0,1,3,0
133,32.5,0,3,1,0,1.0,1,1,0,24,1,1,16,0,0,0,1,30,15
134,18.0,1,2,6,1,3.0,2,1,11,52,0,1,11,300,0,0,1,0,0
135,57.5,1,4,1,0,1.0,1,1,0,104,3,1,16,0,0,0,1,0,0
136,70.0,1,2,1,0,3.0,4,1,10,0,0,0,0,0,0,0,1,10,18
137,32.5,1,4,1,0,2.0,1,1,14,150,0,1,26,0,0,0,1,0,28
138,17.0,1,2,5,1,2.0,99,1,15,0,0,1,17,56,0,0,0,0,0
139,24.5,0,3,1,0,2.0,1,1,17,156,1,1,19,0,0,0,0,0,0
140,17.0,0,4,1,0,1.0,99,1,21,4,0,0,0,0,0,0,0,0,0
141,42.5,1,1,2,1,1.0,4,1,30,60,0,0,0,0,0,0,0,0,0
142,15.0,0,4,1,0,1.0,99,0,17,0,0,0,0,0,0,0,0,0,0
143,13.0,1,4,1,0,3.0,99,0,14,0,0,0,0,0,0,0,0,0,0
144,20.0,1,2,7,0,3.0,2,1,12,8,8,1,18,104,0,0,1,0,0
145,24.5,0,1,7,0,2.0,3,1,0,NaN,0,0,0,0,0,0,0,0,0
146,15.0,1,1,2,1,1.0,99,0,0,0,0,0,0,0,0,0,0,0,0
147,17.0,1,2,2,1,3.0,99,0,21,0,0,0,0,0,0,0,0,0,0
148,24.5,0,1,5,0,1.0,2,0,17,0,0,0,0,0,0,0,0,0,0
149,57.5,1,2,7,0,3.0,1,1,17,156,3,0,0,0,0,0,0,0,0
150,42.5,1,4,3,0,2.0,1,1,16,0,0,0,0,0,0,0,1,0,0
151,32.5,1,3,1,0,1.0,1,1,17,72,1,1,25,6,0,0,1,0,0
152,32.5,1,2,1,0,2.0,1,1,14,24,0,0,0,0,0,0,1,30,20
153,22.5,1,2,2,0,2.0,1,1,16,60,2,0,0,0,0,0,1,0,0
154,32.5,0,2,1,0,2.0,1,1,16,156,2,0,0,0,0,0,1,0,0
155,19.0,1,2,2,1,1.0,1,1,0,6,1,0,0,0,0,0,1,3,0
156,17.0,0,1,2,1,1.0,99,0,19,0,0,0,0,0,0,0,0,0,0
157,14.0,0,4,1,0,1.0,99,0,21,0,0,0,0,0,0,0,0,0,0
158,16.0,1,2,7,0,1.0,99,1,0,0,0,0,0,0,0,0,0,0,0
159,70.0,1,2,1,1,1.0,4,1,16,52,1,0,0,0,0,0,1,0,16
160,12.0,0,3,1,0,2.0,99,0,18,0,0,0,0,0,0,0,0,0,0
161,32.5,1,4,1,1,3.0,3,1,12,192,4,1,21,0,0,0,0,0,0
162,57.5,0,4,5,0,2.0,1,1,0,340,3,1,14,52,1,0,1,5,14
163,57.5,1,4,1,0,3.0,1,1,16,0,0,1,16,0,0,0,1,30,17
164,14.0,0,3,1,0,2.0,99,0,18,0,0,0,0,0,0,0,0,0,0
165,24.5,0,3,1,0,2.0,1,1,15,0,0,0,0,0,0,0,0,0,0
166,27.5,0,2,1,0,1.0,1,1,16,156,1,0,0,0,0,0,1,15,0
167,42.5,0,4,1,0,3.0,1,1,0,0,0,1,19,0,0,0,1,0,19
168,24.5,0,3,2,0,3.0,2,1,15,104,3,0,0,0,0,0,0,0,0
169,17.0,0,2,1,0,2.0,99,1,16,1,0,0,0,0,0,0,0,0,0
170,24.5,1,1,1,0,2.0,2,0,20,0,0,0,0,0,0,0,1,30,21
171,24.5,0,4,1,0,3.0,1,1,16,0,0,1,19,0,0,0,1,0,0
172,32.5,1,4,1,0,3.0,1,1,0,0,0,1,17,0,0,0,1,0,0
173,27.5,0,4,1,0,2.0,1,1,0,156,2,1,16,0,0,0,0,0,0
174,21.0,1,3,1,0,1.0,1,1,14,60,5,1,15,156,1,0,1,30,17
175,24.5,1,3,1,0,3.0,1,1,0,156,3,1,18,6,1,0,1,0,0
176,57.5,0,3,1,0,1.0,1,1,21,156,1,1,17,0,0,0,1,0,19
177,15.0,0,4,1,0,1.0,99,0,15,0,0,0,0,0,0,0,0,0,0
178,42.5,0,1,1,1,2.0,2,1,15,8,0,1,19,0,0,0,1,2,14
179,32.5,0,4,1,0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0
180,22.5,1,4,2,0,1.0,3,0,16,0,0,0,0,0,0,0,0,0,0
181,14.0,0,3,7,0,2.0,99,1,0,32,11,1,9,38,1,0,1,8,0
182,27.5,0,4,1,0,1.0,1,1,0,156,2,1,13,24,1,0,1,2,14
183,13.0,1,4,1,0,1.0,99,0,21,0,0,0,0,0,0,0,0,0,0
184,14.0,1,3,1,0,1.0,99,0,18,0,0,0,0,0,0,0,0,0,0
185,12.0,1,4,1,0,2.0,99,0,0,0,0,0,0,0,0,0,0,0,0
186,32.5,0,1,1,1,1.0,1,1,21,12,10,1,14,0,1,0,1,30,14
187,13.0,0,4,1,0,1.0,99,1,0,NaN,NaN,0,0,0,0,0,0,0,0
188,24.5,0,4,1,0,3.0,4,1,25,36,0,0,0,0,0,0,1,0,0
189,13.0,1,4,1,0,2.0,99,0,21,0,0,0,0,0,0,0,0,0,0
190,32.5,0,1,1,1,2.0,4,1,0,3,1,1,23,0,0,0,1,30,15
191,16.0,1,1,2,1,2.0,99,1,0,0,0,0,0,0,0,0,1,0,0
192,13.0,1,3,1,0,1.0,99,0,21,0,0,0,0,0,0,0,0,0,0
193,16.0,1,1,2,1,1.0,99,1,15,NaN,NaN,0,0,0,0,0,0,0,0
194,16.0,0,2,1,0,1.0,99,1,0,10,1,1,15,1,0,0,1,0,0
195,27.5,0,2,1,0,1.0,1,1,10,3,0,1,17,0,1,0,1,30,20
196,24.5,0,2,1,0,1.0,2,1,0,12,2,0,0,0,0,0,0,0,0
197,22.5,0,1,2,0,1.0,1,1,0,NaN,1,0,0,0,0,0,0,0,0
198,42.5,0,4,5,0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,42.5,1,4,6,0,1.0,1,1,16,260,3,1,15,144,1,0,0,0,0
200,22.5,0,2,5,0,3.0,2,1,17,10,1,0,0,0,0,0,0,0,0
201,19.0,1,2,2,1,3.0,1,0,16,0,0,0,0,0,0,0,0,0,0
202,20.0,0,1,1,0,2.0,2,1,15,72,3,1,15,0,0,0,1,0,0
203,42.5,1,2,2,0,1.0,1,1,0,NaN,NaN,0,0,0,0,0,0,0,0
204,57.5,0,4,1,0,1.0,1,1,17,208,1,1,20,0,0,0,1,0,18
205,22.5,0,2,2,1,2.0,1,1,11,24,2,0,0,0,0,0,0,0,0
206,19.0,0,4,7,0,2.0,2,1,18,0,0,1,18,100,0,0,0,0,0
207,18.0,0,3,1,0,2.0,2,1,0,2,0,1,14,0,1,0,1,0,0
208,17.0,1,2,2,1,1.0,99,0,0,0,0,0,0,0,0,0,0,0,0
209,16.0,1,4,1,0,3.0,99,1,25,52,10,1,14,208,0,0,1,0,0
210,15.0,0,4,1,0,1.0,99,1,13,168,2,1,15,5,1,0,1,1,0
211,27.5,1,2,1,0,3.0,1,0,17,0,0,0,0,0,0,0,0,0,0
212,16.0,1,4,1,0,1.0,99,0,0,0,0,0,0,0,0,0,0,0,0
213,22.5,1,2,1,0,1.0,1,1,13,312,3,1,15,3,1,0,1,0,0
214,57.5,0,2,1,1,1.0,4,1,13,0,0,1,18,0,0,0,1,0,18
215,27.5,0,2,7,0,2.0,1,0,16,0,0,0,0,0,0,0,0,0,0
216,27.5,1,2,1,0,3.0,1,1,0,72,1,1,15,0,0,0,1,0,0
217,24.5,0,1,1,1,3.0,4,1,19,5,0,0,0,0,0,0,1,0,0
218,14.0,1,4,6,0,1.0,99,1,18,0,0,0,0,0,0,0,0,0,0
219,16.0,0,2,7,0,1.0,99,0,15,0,0,1,15,0,0,0,1,0,0
220,22.5,1,2,1,0,2.0,1,1,18,208,10,1,21,10,0,0,1,30,18
221,19.0,1,3,1,1,2.0,2,1,12,1,0,0,0,0,0,0,0,0,0
222,27.5,0,1,1,0,3.0,2,1,16,144,1,1,26,0,0,0,1,30,17
223,42.5,0,4,1,0,1.0,2,1,10,24,1,1,21,0,0,0,1,0,0
224,17.0,1,1,7,1,2.0,99,0,16,0,0,0,0,0,0,0,0,0,0
225,14.0,0,2,7,1,2.0,99,0,9,0,0,0,0,0,0,0,0,0,0
226,13.0,0,3,1,1,1.0,99,0,0,0,0,0,0,0,0,0,0,0,0
227,27.5,0,4,2,0,2.0,1,1,12,0,0,0,0,0,0,0,0,0,0
228,16.0,0,3,3,0,1.0,99,1,15,0,0,0,0,0,0,0,0,0,0
229,42.5,0,2,2,0,1.0,1,1,17,120,2,0,0,0,0,0,1,0,0
230,21.0,1,2,6,0,1.0,3,1,0,10,0,1,19,90,0,0,1,5,0
231,70.0,0,4,1,0,2.0,4,1,0,0,0,0,0,0,0,0,0,0,0
232,42.5,1,4,2,0,1.0,1,1,16,312,6,1,18,342,0,0,0,0,0
233,27.5,1,4,1,0,2.0,1,1,12,156,2,1,10,1,0,0,1,0,20
234,12.0,1,3,1,0,3.0,99,0,17,0,0,0,0,0,0,0,0,0,0
235,27.5,0,3,1,0,2.0,1,1,18,0,0,0,0,0,0,0,1,30,20
236,70.0,1,3,1,0,1.0,4,1,0,0,0,1,20,0,0,0,1,0,18
237,13.0,1,1,2,1,1.0,99,0,0,0,0,0,0,0,0,0,0,0,0
238,21.0,1,2,6,1,2.0,4,1,21,72,8,1,16,355,0,0,1,30,17
239,24.5,0,4,6,0,1.0,1,1,NaN,36,NaN,1,22,0,0,0,0,0,0
240,22.5,1,2,6,0,3.0,1,1,21,4,0,1,18,364,1,1,1,30,20
241,18.0,0,1,7,0,1.0,2,0,17,0,0,0,0,0,0,0,0,0,0
242,12.0,0,4,1,0,2.0,99,0,14,0,0,0,0,0,0,0,0,0,0
243,27.5,1,4,7,0,2.0,1,1,18,260,1,1,17,0,0,0,1,0,0
244,42.5,0,4,1,0,2.0,1,1,18,52,2,1,19,0,1,0,1,0,0
245,70.0,1,2,7,1,2.0,1,0,18,0,0,0,0,0,0,0,0,0,0
246,18.0,1,1,7,1,1.0,4,0,14,0,0,0,0,0,NaN,0,0,0,0
247,42.5,0,2,2,0,2.0,1,1,27,12,0,1,16,0,0,0,0,0,0
248,42.5,1,3,1,0,2.0,1,1,18,48,1,1,17,13,1,0,1,0,0
249,19.0,1,1,7,1,3.0,3,1,0,42,0,0,0,0,0,0,1,1,19
250,13.0,0,4,1,0,1.0,99,0,18,0,0,0,0,0,0,0,0,0,0
251,27.5,0,1,2,1,1.0,1,1,0,10,NaN,0,0,0,1,0,0,0,0
252,32.5,1,2,7,0,2.0,1,1,16,24,2,0,0,0,0,0,0,0,0
253,57.5,0,1,7,0,2.0,4,1,16,156,1,1,17,0,0,0,1,30,21
254,24.5,0,1,1,0,2.0,1,1,15,120,1,0,0,0,0,0,1,0,0
255,70.0,1,1,1,0,1.0,4,1,17,0,0,0,0,0,0,0,1,0,18
256,15.0,1,2,1,0,3.0,99,0,16,0,0,0,0,0,0,0,0,0,0
257,14.0,0,1,7,1,1.0,99,0,17,0,0,0,0,0,0,0,0,0,0
258,42.5,1,4,1,0,1.0,1,1,25,104,1,0,0,0,0,0,0,0,0
259,14.0,0,2,7,1,1.0,99,0,9,0,0,0,0,0,0,0,0,0,0
260,42.5,1,2,7,0,3.0,1,1,20,24,2,1,18,0,0,0,1,0,0
261,42.5,1,1,3,1,1.0,2,1,21,0,0,0,0,0,0,0,1,30,19
262,13.0,0,2,7,0,2.0,99,0,13,0,0,0,0,0,0,0,0,0,0
263,57.5,0,4,7,1,1.0,3,1,21,104,NaN,0,0,0,0,0,0,0,0
264,22.5,1,1,7,0,1.0,1,1,0,340,24,1,14,0,1,0,1,30,18
265,57.5,0,1,1,0,1.0,4,1,14,0,0,0,0,0,0,0,1,7,15
266,17.0,0,3,1,0,2.0,99,1,23,1,0,1,17,2,0,0,0,0,0
267,32.5,0,2,1,1,1.0,1,1,0,7,0,1,28,0,1,0,1,0,0
268,57.5,0,3,7,0,2.0,3,1,14,1,0,0,0,0,0,0,0,0,0
269,27.5,0,2,1,1,1.0,1,1,17,156,NaN,0,0,0,0,0,1,2,18
270,24.5,0,2,6,0,2.0,1,1,15,5,0,0,0,0,0,0,1,0,0
271,18.0,1,4,1,0,1.0,3,0,17,0,0,0,0,0,0,0,0,0,0
272,19.0,0,1,7,0,2.0,4,0,15,0,0,0,0,0,0,0,0,0,0
273,22.5,1,3,1,0,2.0,1,1,17,52,0,1,18,0,0,0,1,0,0
274,21.0,1,1,2,0,1.0,2,1,13,24,2,0,0,0,0,0,0,0,0
275,32.5,0,1,1,1,2.0,4,1,16,52,0,0,0,0,0,0,1,30,18
276,24.5,0,3,1,0,1.0,2,1,18,240,0,1,16,0,0,0,1,0,22
277,32.5,0,2,7,0,3.0,4,1,0,0,0,1,18,0,0,0,1,0,0
278,20.0,1,2,7,0,2.0,1,1,16,1,1,1,19,0,0,0,0,0,0
279,70.0,1,2,1,0,1.0,4,1,18,30,1,0,0,0,0,0,0,0,0
280,22.5,0,4,1,0,1.0,1,1,14,84,2,1,13,10,1,0,1,0,0
281,57.5,0,2,1,0,2.0,4,1,10,3,0,1,16,0,1,0,1,30,19
282,42.5,0,4,6,0,1.0,1,1,21,260,4,1,14,0,0,0,1,0,0
283,12.0,1,2,7,0,2.0,99,0,0,0,0,0,0,0,0,0,0,0,0
284,18.0,1,4,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0
285,27.5,1,3,1,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0
286,42.5,1,1,7,1,3.0,1,1,26,104,2,1,20,0,0,0,1,0,0
287,42.5,0,4,1,0,2.0,2,0,12,0,0,0,0,0,0,0,0,0,0
288,16.0,0,3,1,0,2.0,99,0,0,0,0,0,0,0,0,0,0,0,0
289,42.5,1,2,1,0,3.0,1,1,14,48,2,1,34,0,0,0,0,0,0
290,70.0,0,4,1,0,1.0,4,1,0,260,1,1,21,0,0,0,1,0,18
291,15.0,0,4,1,0,2.0,99,0,0,0,0,0,0,0,0,0,0,0,0
292,15.0,1,1,2,1,1.0,99,0,17,0,0,0,0,0,0,0,0,0,0
293,32.5,0,2,1,1,1.0,4,1,21,5,0,1,16,0,0,0,1,0,18
294,24.5,0,3,1,0,3.0,3,1,13,24,4,1,11,0,0,0,1,30,16
295,32.5,1,3,7,0,2.0,2,1,21,10,1,1,14,3,1,0,1,2,15
296,20.0,0,1,1,0,1.0,2,1,15,36,3,1,17,24,1,0,1,0,0
297,16.0,1,2,1,0,2.0,99,1,17,0,0,0,0,0,0,0,1,1,0
298,19.0,0,4,7,0,1.0,1,1,14,3,1,1,17,240,0,0,1,0,0
299,22.5,0,2,1,0,1.0,1,1,18,10,1,1,15,2,0,0,1,13,20
300,15.0,0,2,7,1,3.0,99,0,21,0,0,0,0,0,0,0,0,0,0
301,13.0,0,1,7,1,1.0,99,0,0,0,0,0,0,0,0,0,0,0,0
302,18.0,1,4,7,0,1.0,2,1,16,1,0,0,0,0,0,0,0,0,0
303,42.5,1,2,3,0,1.0,4,1,0,60,0,1,14,0,0,0,1,30,13
304,70.0,1,1,3,0,3.0,1,0,15,0,0,0,0,0,0,0,0,0,0
305,57.5,1,1,7,1,1.0,3,1,0,52,0,0,0,0,0,0,1,0,18
306,20.0,1,1,1,0,2.0,4,1,17,340,6,1,15,3,0,0,1,0,0
307,16.0,0,2,1,0,1.0,99,1,0,104,2,1,14,104,1,2,1,10,15
308,14.0,1,2,1,0,1.0,99,0,18,0,0,0,0,0,0,0,0,0,0
309,42.5,1,1,1,0,1.0,3,1,22,156,1,1,8,0,1,0,1,7,11
