,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
9452,18.0,1,2,5,0,3,3,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9453,32.5,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9454,42.5,0,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9455,18.0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9456,18.0,0,4,1,0,1,2,1,18,4,NaN,1,17,48,0,0,0.0,NaN,0,0
9457,70.0,1,1,2,1,3,4,1,14,52,1,1,29,0,0,0,,NaN,12,16
9458,24.5,1,4,1,0,3,1,1,20,104,6,0,0,0,0,0,,NaN,1,0
9459,12.0,1,4,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9460,19.0,0,3,5,0,1,4,1,18,8,0,0,0,0,0,0,0.0,NaN,0,0
9461,32.5,0,2,1,0,2,1,1,21,24,0,1,14,0,0,0,0.0,NaN,0,0
9462,42.5,0,2,3,1,3,3,1,16,1,NaN,1,14,240,0,0,,NaN,30,14
9463,32.5,1,3,1,0,2,1,1,14,156,NaN,1,21,3,1,NaN,0.0,NaN,0,0
9464,24.5,1,1,1,0,2,2,1,18,260,4,1,20,104,0,0,,NaN,0,0
9465,42.5,1,2,5,1,2,4,1,14,156,9,1,20,0,0,0,,NaN,1,0
9466,42.5,0,1,7,0,1,1,1,20,0,0,0,0,0,0,0,0.0,NaN,0,0
9467,20.0,1,1,1,0,2,3,1,16,84,5,1,19,5,0,0,0.0,NaN,0,0
9468,42.5,0,1,1,0,2,4,1,16,355,1,1,18,0,0,0,,NaN,0,0
9469,42.5,1,2,7,0,1,1,1,19,0,0,0,0,0,0,0,0.0,NaN,0,0
9470,22.5,1,2,6,0,1,1,1,5,260,10,1,7,240,1,0,,NaN,30,10
9471,42.5,0,3,6,0,1,3,1,18,260,1,0,0,0,0,0,,NaN,0,0
9472,32.5,1,4,1,0,3,1,1,14,104,8,1,18,0,0,0,,NaN,0,18
9473,22.5,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,,NaN,0,0
9474,22.5,0,2,1,0,3,1,1,15,260,3,1,14,362,1,1,,NaN,0,0
9475,16.0,0,4,1,0,3,99,1,14,24,1,0,0,0,0,0,0.0,0,0,0
9476,42.5,0,1,7,1,1,2,1,16,12,0,0,0,0,0,0,0.0,NaN,0,0
9477,57.5,1,4,1,0,1,1,1,17,156,2,1,15,0,0,0,,NaN,0,21
9478,17.0,1,4,1,0,2,99,1,16,20,3,1,16,50,0,0,0.0,0,0,0
9479,15.0,1,4,1,0,1,99,1,15,1,0,1,15,12,0,0,0.0,0,0,0
9480,18.0,0,4,1,0,1,2,1,16,2,3,0,0,0,0,0,0.0,NaN,0,0
9481,27.5,1,2,6,0,2,1,1,18,120,1,0,0,0,0,0,0.0,NaN,0,0
9482,16.0,1,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9483,42.5,0,4,2,0,1,1,1,20,3,2,0,0,0,0,0,0.0,NaN,0,0
9484,13.0,0,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9485,15.0,0,2,1,0,1,99,1,15,50,0,1,13,228,0,0,0.0,0,0,0
9486,57.5,1,3,2,0,1,1,1,20,12,1,1,19,0,0,0,0.0,NaN,0,0
9487,22.5,0,2,1,0,1,2,1,14,0,0,1,19,208,1,0,,NaN,0,0
9488,22.5,0,4,1,0,1,1,1,16,156,2,1,19,0,0,0,,NaN,30,17
9489,19.0,1,4,2,0,1,2,1,17,2,0,1,17,24,0,0,0.0,NaN,0,0
9490,13.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9491,16.0,1,2,2,1,1,99,0,0,0,0,0,0,0,1,0,0.0,25,0,0
9492,22.5,1,1,2,1,1,3,1,15,60,2,1,14,364,0,0,,NaN,4,0
9493,22.5,1,2,1,0,1,3,1,21,156,0,0,0,0,0,0,,NaN,0,18
9494,32.5,0,1,1,1,1,2,1,14,3,0,1,14,90,1,0,,NaN,0,21
9495,27.5,0,2,1,0,2,1,1,21,2,0,0,0,0,0,0,0.0,NaN,0,0
9496,22.5,0,2,7,0,1,1,1,21,0,0,0,0,0,0,0,0.0,NaN,0,0
9497,57.5,1,1,1,1,2,4,1,17,48,3,0,0,0,0,0,0.0,NaN,0,0
9498,24.5,0,1,7,1,1,3,1,22,60,NaN,1,23,1,0,0,,NaN,0,0
9499,21.0,0,3,1,0,3,1,1,18,24,2,0,0,0,0,0,0.0,NaN,0,0
9500,57.5,1,4,1,0,1,1,1,18,156,1,1,18,0,0,0,0.0,NaN,0,0
9501,32.5,0,3,1,0,1,1,1,17,6,0,1,19,0,0,0,,NaN,0,0
9502,13.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9503,42.5,1,3,1,0,2,1,1,15,5,6,1,14,0,0,0,,NaN,0,0
9504,13.0,1,3,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9505,14.0,1,3,7,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9506,27.5,1,2,2,1,2,1,1,16,34,1,0,0,0,0,0,0.0,NaN,0,0
9507,13.0,0,2,7,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9508,14.0,1,4,1,0,1,99,0,0,0,0,1,14,Not sure,0,0,0.0,25,0,0
9509,32.5,1,3,7,0,2,1,0,0,0,0,0,0,0,0,0,,NaN,0,0
9510,32.5,1,4,7,0,1,1,1,18,312,2,1,16,0,1,0,,NaN,0,0
9511,12.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9512,22.5,0,2,1,1,2,2,1,18,48,NaN,1,13,5,1,0,,NaN,30,16
9513,42.5,0,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9514,27.5,0,2,2,1,2,2,1,16,84,2,1,13,355,0,0,,NaN,0,14
9515,17.0,0,2,7,1,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9516,17.0,0,1,6,0,1,99,1,17,1,0,1,17,33,0,0,0.0,0,0,0
9517,13.0,0,4,1,0,3,99,1,12,3,0,0,0,0,0,0,,NaN,1,0
9518,14.0,0,1,1,1,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9519,70.0,1,3,1,0,3,4,1,19,0,0,0,0,0,0,0,,NaN,0,18
9520,24.5,0,3,1,0,1,1,1,21,10,0,0,0,0,0,0,,NaN,0,0
9521,14.0,0,4,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,25,0,0
9522,32.5,0,3,5,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9523,17.0,1,1,1,1,2,99,1,16,60,NaN,1,15,0,0,0,,NaN,0,0
9524,27.5,1,4,1,0,3,1,1,17,0,0,0,0,0,0,0,0.0,NaN,0,0
9525,22.5,0,2,1,0,2,2,1,16,104,3,0,0,0,0,0,0.0,NaN,0,0
9526,42.5,0,4,1,0,1,1,1,17,104,2,1,17,12,1,0,,NaN,30,20
9527,18.0,0,4,1,0,1,2,1,17,3,1,0,0,0,0,0,0.0,NaN,0,0
9528,70.0,1,4,1,0,2,1,1,18,0,0,1,18,0,0,0,,NaN,0,18
9529,42.5,1,4,7,0,2,1,1,17,36,2,0,0,0,0,0,,NaN,0,0
9530,57.5,0,4,2,1,1,1,1,25,60,1,0,0,0,0,0,,NaN,0,0
9531,13.0,0,4,6,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9532,20.0,0,2,1,0,2,1,1,13,7,0,0,0,0,0,0,0.0,NaN,0,0
9533,24.5,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9534,42.5,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9535,42.5,0,2,5,1,1,4,1,31,72,1,0,0,0,0,0,,NaN,30,31
9536,21.0,1,4,1,0,1,1,1,17,156,9,1,17,208,0,0,0.0,NaN,0,0
9537,27.5,0,2,1,0,1,1,1,17,156,2,1,25,24,0,0,,NaN,0,0
9538,14.0,1,2,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9539,27.5,0,3,7,1,1,1,1,20,104,6,1,NaN,NaN,0,0,,NaN,1,Not sure
9540,42.5,1,2,1,0,1,2,1,13,208,6,1,16,60,0,0,,NaN,3,21
9541,16.0,1,3,7,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9542,32.5,0,3,1,0,1,1,1,16,3,0,1,15,0,0,0,,NaN,0,0
9543,57.5,1,4,7,0,1,1,1,19,0,0,1,16,0,0,0,,NaN,0,20
9544,18.0,1,2,2,0,1,4,1,17,1,0,0,0,0,NaN,NaN,,NaN,0,0
9545,20.0,0,1,7,0,2,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9546,24.5,1,4,1,0,1,1,1,21,48,3,1,23,0,0,0,0.0,NaN,0,0
9547,12.0,1,4,1,0,3,99,1,5,0,0,0,0,0,NaN,0,0.0,0,0,0
9548,14.0,1,3,1,1,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9549,42.5,1,4,1,0,1,1,1,14,104,2,1,19,0,1,0,0.0,NaN,0,0
9550,42.5,0,4,1,0,1,2,1,18,3,0,0,0,0,0,0,,NaN,0,16
9551,14.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9552,70.0,0,3,1,0,3,1,1,15,0,0,1,16,0,0,0,,NaN,0,15
9553,17.0,1,4,5,0,2,99,1,15,0,0,0,0,0,0,0,0.0,0,0,0
9554,70.0,0,1,3,1,2,4,1,14,364,7,0,0,0,0,0,,NaN,30,15
9555,15.0,1,2,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9556,21.0,1,1,3,0,2,4,0,0,0,0,1,13,0,0,0,0.0,NaN,0,0
9557,57.5,0,2,7,0,1,1,1,19,8,2,1,20,48,0,0,0.0,NaN,0,0
9558,22.5,0,3,1,0,3,1,1,18,120,12,1,16,104,1,0,,NaN,30,20
9559,14.0,1,2,1,1,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9560,42.5,1,4,1,0,1,1,1,18,36,2,0,0,0,0,0,,NaN,0,18
9561,32.5,1,2,3,1,3,4,1,18,260,5,1,18,108,0,0,,NaN,0,0
9562,32.5,0,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9563,24.5,0,1,1,1,3,4,1,18,52,0,1,16,0,0,0,,NaN,30,22
9564,22.5,0,4,7,0,1,1,1,14,104,3,1,16,0,0,0,,NaN,0,0
9565,70.0,0,1,6,0,3,4,1,17,7,0,0,0,0,0,0,,NaN,0,0
9566,22.5,0,4,1,0,1,1,1,18,104,1,0,0,0,0,0,0.0,NaN,0,0
9567,70.0,1,2,1,0,1,4,1,14,60,1,1,16,0,0,0,,NaN,0,18
9568,70.0,0,1,1,0,2,4,1,20,12,1,0,0,0,0,0,,NaN,0,20
9569,15.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9570,42.5,1,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9571,20.0,0,1,1,0,1,2,1,16,3,0,0,0,0,0,0,0.0,NaN,0,0
9572,32.5,0,2,1,0,3,1,1,20,0,0,1,25,0,0,0,,NaN,0,0
9573,19.0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9574,14.0,1,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,25,0,0
9575,42.5,1,4,5,0,1,1,1,21,24,1,1,17,312,0,0,,NaN,0,18
9576,42.5,0,1,6,0,3,1,1,15,260,5,1,14,NaN,1,0,,NaN,30,13
9577,42.5,0,3,1,0,2,2,1,18,4,0,1,18,0,0,0,,NaN,30,20
9578,27.5,1,4,7,0,1,1,1,16,260,NaN,1,16,0,1,0,,NaN,30,23
9579,32.5,0,3,1,0,2,1,1,16,104,3,1,13,0,0,0,,NaN,0,0
9580,32.5,0,3,1,0,2,1,1,16,52,3,1,17,0,0,0,,NaN,0,16
9581,32.5,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9582,12.0,1,2,5,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9583,70.0,1,1,1,0,1,4,1,NaN,0,0,0,0,0,0,0,,NaN,0,Not sure
9584,57.5,1,4,1,0,1,1,1,15,104,3,1,16,0,0,0,,NaN,0,15
9585,57.5,0,2,1,0,2,2,1,21,7,0,1,17,0,0,0,0.0,NaN,0,0
9586,24.5,0,2,1,0,2,4,1,18,104,2,1,22,0,0,0,,NaN,0,16
9587,42.5,0,2,1,1,2,1,1,16,36,1,1,18,0,0,0,,NaN,0,0
9588,42.5,0,4,1,0,1,1,1,15,60,1,0,0,0,0,0,0.0,NaN,0,0
9589,12.0,1,3,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9590,32.5,0,2,1,0,1,1,1,18,0,0,1,18,260,0,0,,NaN,30,16
9591,22.5,1,2,1,0,1,1,1,21,0,0,1,21,144,0,0,0.0,NaN,0,0
9592,42.5,0,3,5,0,1,4,1,29,0,0,0,0,0,NaN,0,0.0,NaN,0,0
9593,32.5,0,3,7,0,1,4,1,30,36,1,0,0,0,0,0,0.0,NaN,0,0
9594,27.5,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9595,16.0,0,1,1,1,3,99,0,0,0,0,1,13,12,0,0,,NaN,0,0
9596,13.0,1,4,1,0,3,99,1,9,0,0,0,0,0,0,0,0.0,0,0,0
9597,15.0,1,4,7,0,1,99,1,15,1,NaN,0,0,0,0,0,0.0,0,0,0
9598,70.0,1,3,1,0,3,4,1,14,36,1,1,16,0,0,0,0.0,NaN,0,0
9599,22.5,0,3,7,0,3,1,1,15,24,3,1,17,144,0,0,,NaN,0,0
9600,20.0,0,1,7,0,3,4,1,15,0,0,1,12,0,0,0,,NaN,30,18
9601,21.0,1,4,1,0,1,4,1,21,83,8,0,0,0,0,0,0.0,NaN,0,0
9602,16.0,1,1,4,1,3,99,1,16,1,0,0,0,0,NaN,NaN,0.0,0,0,0
9603,17.0,0,2,7,0,1,99,1,14,12,0,1,15,0,0,0,,NaN,0,0
9604,15.0,1,2,1,0,3,99,1,12,3,0,0,0,0,0,0,,NaN,0,0
9605,32.5,0,4,2,0,2,1,1,21,104,1,0,0,0,0,0,,NaN,0,23
9606,24.5,0,2,7,1,3,1,1,14,0,0,0,0,0,0,0,0.0,NaN,0,0
9607,27.5,0,2,1,1,2,1,1,12,156,3,1,13,0,0,0,,NaN,0,0
9608,13.0,1,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9609,57.5,1,4,1,0,1,1,1,18,0,0,0,0,0,0,0,0.0,NaN,0,0
9610,42.5,0,2,1,1,3,1,1,18,0,0,1,22,0,0,0,,NaN,0,17
9611,42.5,1,4,1,0,1,1,1,16,208,2,0,0,0,0,0,,NaN,20,0
9612,12.0,1,2,5,1,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9613,42.5,0,2,1,0,1,2,1,17,12,1,1,28,0,0,0,,NaN,0,0
9614,32.5,1,1,1,1,2,2,1,15,52,4,1,12,364,1,0,,NaN,30,16
9615,24.5,0,3,7,0,3,1,1,13,3,1,0,0,0,0,0,,NaN,0,0
9616,18.0,0,1,7,1,2,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9617,16.0,0,4,1,0,3,99,1,15,NaN,NaN,0,0,0,0,0,0.0,25,0,0
9618,18.0,1,4,6,0,2,2,1,15,36,5,1,14,48,0,0,0.0,NaN,0,0
9619,32.5,1,2,7,1,2,1,1,18,12,0,0,0,0,0,0,,NaN,0,28
9620,27.5,0,3,1,0,3,1,1,15,180,2,0,0,0,0,0,,NaN,0,17
9621,24.5,1,4,1,0,2,1,1,18,48,4,0,0,0,0,0,,NaN,0,0
9622,57.5,1,4,1,0,1,1,1,16,36,1,1,19,0,0,0,,NaN,0,0
9623,57.5,0,4,2,0,1,1,1,17,13,2,0,0,0,NaN,NaN,0.0,NaN,0,0
9624,70.0,0,2,1,0,1,4,1,19,0,0,0,0,0,0,0,,NaN,0,21
9625,16.0,1,4,1,0,2,99,1,16,5,0,0,0,0,0,0,0.0,0,0,0
9626,27.5,0,1,2,1,2,3,1,16,208,NaN,1,16,104,0,0,,NaN,5,0
9627,27.5,1,2,1,0,1,1,1,17,312,8,1,19,0,0,0,,NaN,20,24
9628,57.5,1,2,1,0,2,2,1,14,120,2,0,0,0,0,0,0.0,NaN,0,0
9629,32.5,0,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9630,42.5,1,4,1,0,2,1,1,17,120,2,0,0,0,0,0,0.0,NaN,0,0
9631,32.5,1,2,1,1,3,2,1,16,0,0,1,31,18,0,0,,NaN,NaN,NaN
9632,57.5,1,4,2,0,2,1,1,20,0,0,1,20,0,0,0,0.0,NaN,0,0
9633,42.5,1,4,1,0,1,1,1,18,156,8,1,19,0,0,0,,NaN,0,0
9634,27.5,0,1,1,1,1,3,1,16,10,0,1,15,150,0,0,,NaN,30,20
9635,42.5,0,3,1,0,2,1,1,21,5,0,0,0,0,0,0,,NaN,30,20
9636,57.5,0,2,1,0,2,1,1,14,0,0,1,17,0,0,0,,NaN,30,23
9637,42.5,0,4,7,0,1,1,1,14,36,3,1,17,0,0,0,,NaN,0,0
9638,70.0,1,4,1,0,2,1,1,18,3,0,1,19,339,0,0,,NaN,0,19
9639,22.5,0,2,2,1,1,4,1,16,0,0,1,18,0,0,0,0.0,NaN,0,0
9640,19.0,0,4,1,0,1,2,1,15,12,0,0,0,0,0,0,0.0,NaN,0,0
9641,16.0,0,2,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9642,27.5,1,3,1,0,1,1,1,18,104,0,0,0,0,0,0,0.0,NaN,0,0
9643,32.5,1,4,1,0,1,1,1,15,364,4,1,15,0,1,0,,NaN,0,0
9644,57.5,0,2,1,0,2,4,1,21,1,0,1,21,0,0,0,,NaN,0,0
9645,42.5,0,2,1,0,3,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9646,18.0,1,2,1,0,3,2,1,16,1,0,0,0,0,0,0,,NaN,0,0
9647,27.5,1,2,1,0,1,1,1,12,96,3,1,13,0,0,0,,NaN,0,0
9648,27.5,1,2,1,0,2,1,1,15,208,3,1,16,5,0,0,0.0,NaN,0,0
9649,12.0,0,1,2,1,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9650,42.5,0,2,1,0,1,1,1,18,6,1,0,0,0,0,0,0.0,NaN,0,0
9651,12.0,0,2,6,1,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9652,42.5,0,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9653,13.0,1,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9654,42.5,0,1,6,1,1,4,1,17,208,3,1,16,0,0,0,0.0,NaN,0,0
9655,17.0,1,4,6,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9656,22.5,0,1,1,0,2,2,1,16,12,NaN,0,0,0,0,0,,NaN,0,0
9657,27.5,1,4,1,1,1,1,1,14,348,5,1,13,364,0,0,,NaN,28,15
9658,42.5,1,4,7,0,1,4,1,18,72,3,1,17,6,0,0,,NaN,0,0
9659,42.5,1,3,2,0,1,1,1,17,104,NaN,1,30,4,0,0,,NaN,0,0
9660,32.5,1,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9661,57.5,1,1,1,1,1,2,1,13,300,6,1,13,144,0,0,,NaN,3,0
9662,19.0,1,1,1,0,3,2,1,14,12,3,1,14,0,0,0,,NaN,0,0
9663,32.5,1,2,1,1,2,1,1,15,5,0,1,14,0,1,0,,NaN,30,16
9664,22.5,1,2,1,0,2,1,1,16,24,0,1,16,0,1,0,,NaN,1,0
9665,22.5,1,4,1,1,3,3,1,14,60,3,1,13,104,0,0,,NaN,30,20
9666,42.5,0,4,1,0,2,1,1,18,9,0,0,0,0,0,0,,NaN,0,0
9667,22.5,1,4,1,0,1,1,1,13,260,3,1,15,0,0,0,,NaN,1,0
9668,57.5,0,2,1,1,1,4,1,19,52,NaN,0,0,0,0,0,,NaN,30,13
9669,19.0,1,1,6,0,2,3,1,18,0,0,1,16,0,0,0,0.0,NaN,0,0
9670,20.0,0,4,1,0,2,1,1,14,4,0,1,15,1,0,0,0.0,NaN,0,0
9671,42.5,1,2,7,1,2,1,1,17,0,0,1,18,0,0,0,,NaN,0,0
9672,21.0,1,1,2,0,3,3,1,16,36,1,0,0,0,NaN,0,0.0,NaN,0,0
9673,13.0,0,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,25,0,0
9674,42.5,0,1,2,1,1,4,1,21,52,1,1,30,345,0,0,0.0,NaN,0,0
9675,57.5,0,2,3,0,2,4,1,30,0,0,0,0,0,0,0,,NaN,0,30
9676,13.0,1,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9677,70.0,1,2,1,0,2,4,1,17,2,1,0,0,0,0,0,0.0,NaN,0,0
9678,16.0,1,2,1,0,1,99,1,16,2,0,0,0,0,0,0,0.0,0,0,0
9679,24.5,0,2,1,1,1,3,1,20,72,3,1,24,3,0,0,,NaN,0,0
9680,32.5,1,4,1,0,3,1,1,13,364,15,1,16,0,0,0,,NaN,0,0
9681,32.5,0,2,1,0,3,1,1,18,120,2,1,19,0,0,0,,NaN,0,0
9682,24.5,1,2,1,0,2,4,1,18,108,2,1,20,0,0,0,,NaN,0,0
9683,42.5,0,4,1,0,2,2,1,14,312,5,1,17,1,1,0,,NaN,4,14
9684,42.5,1,4,1,0,1,1,1,15,19,0,1,18,0,1,0,0.0,NaN,0,0
9685,14.0,1,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9686,18.0,1,1,1,0,2,4,1,18,5,NaN,0,0,0,0,0,0.0,NaN,0,0
9687,18.0,1,4,7,0,2,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9688,42.5,0,4,1,0,2,1,1,21,36,2,0,0,0,0,0,0.0,NaN,0,0
9689,42.5,0,2,1,0,3,1,1,18,0,0,1,16,0,0,0,,NaN,0,0
9690,24.5,1,1,2,1,1,2,1,19,0,0,1,21,0,0,0,,NaN,5,21
9691,42.5,0,2,7,1,2,2,1,18,12,1,0,0,0,0,0,0.0,NaN,0,0
9692,70.0,0,4,1,0,1,1,1,17,4,1,0,0,0,0,0,,NaN,0,0
9693,14.0,0,3,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9694,32.5,0,1,1,0,1,1,1,18,104,2,1,21,52,0,0,,NaN,2,0
9695,42.5,1,2,1,0,2,4,1,18,96,0,0,0,0,0,0,,NaN,30,17
9696,32.5,0,2,7,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9697,24.5,1,2,2,1,1,4,1,2,104,0,1,1,104,0,0,,NaN,24,0
9698,15.0,1,2,7,1,3,99,1,15,1,0,0,0,0,0,0,0.0,0,0,0
9699,42.5,1,2,7,0,1,1,1,18,48,5,0,0,0,0,0,0.0,NaN,0,0
9700,14.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,25,0,0
9701,15.0,1,2,7,0,1,99,1,14,52,1,0,0,0,0,0,0.0,25,0,0
9702,57.5,0,4,1,0,1,1,1,15,7,3,1,18,0,0,0,,NaN,0,18
9703,22.5,0,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9704,42.5,1,2,2,1,1,3,1,15,180,2,1,12,300,0,0,,NaN,2,21
9705,42.5,1,2,1,0,1,1,1,17,52,1,0,0,0,0,0,,NaN,30,18
9706,42.5,1,4,5,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9707,27.5,1,1,7,1,2,4,1,13,60,0,1,13,0,0,0,,NaN,30,10
9708,27.5,0,2,1,1,1,2,1,14,5,0,0,0,0,0,0,0.0,NaN,0,0
9709,57.5,1,1,7,1,2,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9710,24.5,1,2,1,0,3,1,1,18,120,0,1,19,240,0,0,,NaN,0,0
9711,42.5,0,3,1,0,3,1,1,16,24,0,1,24,0,0,0,,NaN,29,24
9712,12.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9713,42.5,1,2,7,0,1,1,1,18,52,0,1,20,52,0,0,,NaN,0,0
9714,14.0,0,1,7,1,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9715,21.0,0,2,1,0,2,1,1,16,104,1,1,16,0,0,0,0.0,NaN,0,0
9716,24.5,1,4,1,0,1,1,1,15,104,1,0,0,0,0,0,,NaN,0,0
9717,22.5,1,1,2,1,2,2,1,16,36,0,1,14,350,0,0,,NaN,21,0
9718,42.5,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,,NaN,28,0
9719,18.0,1,2,2,0,2,2,1,15,0,0,0,0,0,0,0,0.0,NaN,0,0
9720,14.0,1,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9721,42.5,0,4,5,0,1,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9722,16.0,0,1,7,1,1,99,1,13,7,2,1,13,312,1,0,,NaN,28,16
9723,22.5,0,1,5,0,1,4,1,12,1,0,0,0,0,0,0,0.0,NaN,0,0
9724,42.5,1,1,7,1,2,4,1,17,144,8,0,0,0,0,0,,NaN,0,0
9725,42.5,0,4,1,0,1,1,1,19,7,3,0,0,0,0,0,,NaN,15,0
9726,42.5,0,2,3,1,3,4,1,14,2,0,1,15,60,1,0,,NaN,20,18
9727,13.0,0,1,7,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9728,42.5,1,4,1,0,1,1,1,15,52,2,0,0,0,0,0,,NaN,0,0
9729,16.0,0,4,7,0,1,99,1,16,3,0,0,0,0,0,0,0.0,0,0,0
9730,57.5,1,1,2,0,1,1,1,14,156,2,1,20,208,1,0,,NaN,30,20
9731,42.5,1,2,1,0,2,1,1,12,364,8,1,13,120,1,0,,NaN,30,12
9732,42.5,1,3,7,0,1,1,1,21,24,0,0,0,0,0,0,0.0,NaN,0,0
9733,57.5,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9734,42.5,1,2,7,0,1,4,1,21,48,NaN,0,0,0,0,0,0.0,NaN,0,0
9735,16.0,0,4,1,0,1,99,1,15,4,1,0,0,0,0,0,0.0,0,0,0
9736,42.5,0,4,6,0,3,4,1,16,0,0,1,14,0,1,0,,NaN,30,16
9737,42.5,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
9738,14.0,1,2,1,1,1,99,1,12,Not sure,Not sure,0,0,0,0,0,0.0,75,0,0
9739,42.5,1,3,5,0,1,1,1,20,0,0,1,22,0,0,0,,NaN,0,21
9740,42.5,1,1,7,1,1,4,1,21,52,NaN,1,18,104,0,0,,NaN,0,0
9741,24.5,1,1,1,0,3,4,1,16,60,5,1,15,225,1,0,,NaN,0,19
9742,70.0,1,4,1,0,2,4,1,NaN,0,0,0,0,0,0,0,,NaN,0,Not sure
