,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month,Cigarettes,Cig Friend Offer Chance,Cigs Per Day,Cig Everyday Use Age
65,42.5,1,4,5,0,2,1,1,20,15,1,0,0,0,0,0,0.0,NaN,0,0
66,27.5,0,2,6,1,3,4,1,12,144,3,1,12,364,0,0,,NaN,30,13
67,42.5,1,4,5,0,1,1,1,24,48,3,0,0,0,0,0,,NaN,0,0
68,70.0,1,4,1,0,1,4,1,23,208,1,0,0,0,0,0,0.0,NaN,0,0
69,21.0,0,2,1,0,1,2,1,18,15,2,1,19,0,0,0,0.0,NaN,0,0
70,42.5,1,4,7,0,1,4,1,NaN,208,2,0,0,0,0,0,0.0,NaN,0,0
71,17.0,0,2,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
72,27.5,1,4,1,0,2,1,1,18,0,0,1,18,0,0,0,,NaN,0,0
73,57.5,0,2,1,0,1,4,1,18,0,0,1,16,0,0,0,,NaN,30,15
74,24.5,1,2,2,0,1,3,0,0,0,0,0,0,0,0,0,,NaN,30,18
75,32.5,0,1,7,0,2,4,0,0,0,0,1,25,0,0,0,0.0,NaN,0,0
76,42.5,1,1,1,1,1,1,1,25,144,0,1,30,3,0,0,,NaN,7,15
77,70.0,1,4,1,0,2,4,1,10,260,1,0,0,0,0,0,0.0,NaN,0,0
78,42.5,0,1,1,0,3,4,1,19,0,0,1,17,0,0,0,,NaN,22,16
79,12.0,0,4,1,0,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
80,12.0,0,1,7,1,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
81,13.0,1,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
82,19.0,1,4,1,0,1,1,1,18,15,0,1,18,260,0,0,,NaN,1,0
83,19.0,0,1,7,0,1,3,1,16,NaN,NaN,1,18,113,0,0,,NaN,0,0
84,19.0,1,2,2,0,2,4,0,0,0,0,0,0,0,NaN,NaN,0.0,NaN,0,0
85,42.5,1,4,1,0,1,1,1,12,1,0,1,18,364,1,30,,NaN,0,0
86,42.5,0,1,7,0,1,2,1,18,0,0,0,0,0,0,0,,NaN,0,0
87,42.5,1,4,1,0,3,1,1,13,208,2,1,14,0,0,0,,NaN,0,0
88,17.0,1,2,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
89,57.5,1,3,2,0,2,1,1,22,72,NaN,0,0,0,0,0,,NaN,23,0
90,18.0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
91,57.5,0,2,1,0,2,1,1,17,104,1,1,17,0,0,0,,NaN,1,16
92,17.0,0,3,1,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
93,32.5,0,2,7,0,1,1,1,24,1,0,0,0,0,0,0,0.0,NaN,0,0
94,21.0,1,1,5,0,2,4,1,16,52,2,1,15,0,0,0,0.0,NaN,0,0
95,27.5,0,1,3,0,3,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
96,20.0,1,2,7,1,2,3,1,14,60,0,1,15,180,1,0,,NaN,20,0
97,42.5,0,2,2,0,1,2,1,16,0,0,1,16,0,0,0,0.0,NaN,0,0
98,17.0,1,2,2,1,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
99,27.5,1,2,2,1,1,2,1,18,156,4,1,18,0,0,0,,NaN,0,0
100,57.5,0,4,5,0,1,2,0,0,0,0,1,18,0,0,0,,NaN,0,18
101,57.5,1,3,7,0,2,1,1,21,1,NaN,0,0,0,0,0,0.0,NaN,0,0
102,42.5,0,4,1,0,1,4,1,16,52,3,1,16,0,0,0,,NaN,30,22
103,22.5,1,2,1,0,2,1,1,16,36,8,1,14,260,1,0,,NaN,15,17
104,42.5,0,2,7,0,2,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
105,42.5,0,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
106,13.0,0,4,7,0,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
107,17.0,0,2,2,1,2,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
108,42.5,0,2,1,0,2,3,1,21,60,20,1,19,0,1,0,,NaN,30,20
109,17.0,0,4,2,0,1,99,0,0,0,0,1,16,31,0,0,0.0,0,0,0
110,42.5,1,4,7,0,2,1,1,16,4,1,1,19,0,0,0,,NaN,0,15
111,42.5,0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
112,12.0,0,4,1,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
113,18.0,0,3,1,0,1,3,1,NaN,0,0,0,0,0,0,0,,NaN,0,0
114,42.5,0,2,2,0,1,1,1,25,5,1,0,0,0,0,0,0.0,NaN,0,0
115,15.0,0,4,1,0,1,99,1,13,52,1,0,0,0,0,0,0.0,0,0,0
116,42.5,0,2,1,0,2,1,1,17,360,2,1,17,1,1,0,,NaN,0,20
117,57.5,0,1,2,1,2,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
118,14.0,0,2,1,1,3,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
119,70.0,0,4,1,0,1,2,1,18,4,0,1,30,0,0,0,,NaN,0,0
120,27.5,1,1,1,0,2,2,1,27,104,1,0,0,0,0,0,0.0,NaN,0,0
121,32.5,1,1,1,1,3,4,1,13,15,2,1,14,0,1,0,,NaN,30,19
122,27.5,0,2,5,0,3,4,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
123,42.5,0,2,1,0,1,1,1,10,36,1,1,16,365,0,0,,NaN,30,17
124,32.5,0,2,2,0,2,4,0,0,0,0,1,19,0,0,0,,NaN,0,0
125,57.5,0,3,1,1,1,4,1,18,208,2,0,0,0,0,0,0.0,NaN,0,0
126,32.5,0,3,1,0,3,2,1,14,52,0,1,25,1,0,0,,NaN,0,0
127,57.5,1,4,2,0,1,1,1,24,4,2,0,0,0,0,0,0.0,NaN,0,0
128,57.5,0,4,1,0,2,1,1,18,36,1,0,0,0,0,0,,NaN,0,0
129,57.5,0,2,1,0,3,1,1,43,0,0,0,0,0,0,0,0.0,NaN,0,0
130,24.5,0,2,1,0,2,4,1,19,5,0,1,19,0,1,0,,NaN,0,0
131,57.5,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,,NaN,30,39
132,13.0,1,2,7,0,2,99,0,0,0,0,0,0,0,NaN,0,0.0,0,0,0
133,14.0,1,4,6,0,1,99,0,0,0,0,0,0,0,0,0,0.0,0,0,0
134,42.5,1,3,3,0,3,1,1,11,0,0,1,11,0,1,0,,NaN,30,13
135,18.0,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0.0,NaN,0,0
136,42.5,1,3,1,0,3,1,1,10,NaN,15,1,9,364,1,0,,NaN,30,14
137,24.5,0,4,1,0,2,1,1,14,260,2,0,0,0,0,0,0.0,NaN,0,0
138,42.5,1,2,1,1,2,1,1,15,1,0,1,16,0,1,0,,NaN,30,15
