,Ages,Gender,Income,Race,Government,County,Employment Type,Alcohol,Alcohol Age Started,Alcohol Days,Alcohol Per Day,Marijuana,Marijuana Age Started,Marijuana Days,Unprescribed Pain Relievers,Days of UPS in last month
80,42.5,0,2,1,1,3.0,4,1,0,3,6,1,14,364,1,0
81,57.5,0,4,1,0,2.0,1,1,0,96,3,1,16,0,0,0
82,17.0,1,4,1,0,1.0,99,1,18,6,2,0,0,0,0,0
83,22.5,1,2,7,0,1.0,1,1,16,338,8,1,17,Not sure,1,0
84,15.0,1,2,1,0,2.0,99,0,0,0,0,0,0,0,0,0
85,27.5,1,2,1,0,1.0,1,1,12,260,2,1,18,180,0,0
86,15.0,1,2,1,0,1.0,99,0,18,0,0,0,0,0,0,0
87,27.5,0,1,5,0,3.0,4,0,13,0,0,0,0,0,0,0
88,57.5,1,2,7,0,2.0,1,0,0,0,0,0,0,0,0,0
89,22.5,0,4,7,0,2.0,1,1,22,3,1,0,0,0,0,0
90,32.5,1,4,4,0,3.0,1,1,0,7,4,1,15,0,0,0
91,27.5,0,4,1,0,2.0,1,1,17,104,2,0,0,0,0,0
92,19.0,1,2,2,0,2.0,4,0,0,0,0,0,0,0,0,0
93,15.0,1,3,1,0,1.0,99,1,24,0,0,1,15,16,0,0
94,57.5,1,3,1,0,2.0,1,1,16,30,1,1,17,0,0,0
95,13.0,0,4,1,0,3.0,99,0,0,0,0,0,0,0,0,0
96,15.0,0,2,1,0,2.0,99,0,14,0,0,1,15,1,0,0
97,24.5,1,4,1,1,1.0,4,0,16,0,0,0,0,0,0,0
98,21.0,1,3,6,0,1.0,2,1,0,12,4,1,17,260,0,0
99,32.5,0,3,1,1,1.0,4,1,18,312,4,1,13,2,1,30
100,32.5,1,4,2,0,1.0,1,1,0,Not sure,1,1,19,364,0,0
101,32.5,1,3,1,0,2.0,1,1,21,104,2,1,17,2,0,0
102,18.0,1,4,2,0,1.0,2,1,16,24,0,1,16,52,1,0
103,42.5,0,4,1,0,2.0,1,1,16,12,0,0,0,0,0,0
104,15.0,1,1,2,1,2.0,99,0,0,0,0,0,0,0,0,0
105,70.0,0,1,7,1,1.0,4,1,0,0,0,0,0,0,0,0
106,24.5,1,2,1,0,2.0,1,1,0,104,3,1,23,2,0,0
107,27.5,0,1,6,1,2.0,3,1,0,168,NaN,1,12,364,0,0
108,24.5,0,2,2,1,2.0,2,1,21,52,NaN,1,18,0,0,0
109,32.5,1,4,2,0,1.0,1,1,0,104,1,1,22,15,0,0
110,57.5,0,3,1,0,2.0,1,1,16,1,0,1,12,0,0,0
111,14.0,1,2,7,0,3.0,99,0,0,0,0,0,0,0,0,0
112,57.5,0,4,1,0,1.0,1,1,0,364,3,1,13,0,0,0
113,42.5,0,1,2,1,1.0,2,1,NaN,24,0,1,23,0,0,0
114,27.5,1,2,7,0,1.0,4,1,25,NaN,0,0,0,0,0,0
115,22.5,0,2,7,0,1.0,1,1,13,48,2,0,0,0,0,0
116,42.5,1,4,1,0,2.0,1,1,17,52,5,0,0,0,0,0
117,20.0,0,1,5,1,2.0,2,1,0,1,0,0,0,0,0,0
118,27.5,1,2,1,0,3.0,2,1,0,104,3,1,21,12,1,2
119,42.5,1,2,7,0,1.0,1,0,18,0,0,0,0,0,0,0
120,27.5,0,1,1,0,2.0,2,1,27,52,3,1,15,48,0,0
121,16.0,1,1,2,1,3.0,99,0,13,0,0,0,0,0,0,0
122,15.0,1,4,1,0,3.0,99,1,0,4,0,1,14,1,0,0
123,57.5,0,4,1,0,1.0,1,1,10,60,1,0,0,0,0,0
124,15.0,0,1,2,0,2.0,99,0,0,0,0,0,0,0,0,0
125,27.5,0,2,1,0,1.0,1,1,18,48,1,1,25,0,0,0
126,13.0,0,2,1,1,3.0,99,0,14,0,0,0,0,0,0,0
127,57.5,0,1,1,1,1.0,3,0,24,0,0,0,0,0,0,0
128,42.5,1,1,2,1,2.0,3,1,18,260,2,1,20,0,0,0
129,18.0,1,2,7,0,3.0,3,1,43,0,0,0,0,0,0,0
130,57.5,1,2,7,0,2.0,4,1,19,5,0,0,0,0,0,0
131,22.5,1,1,5,0,2.0,4,1,0,24,Not sure,0,0,0,0,0
132,42.5,1,1,1,1,2.0,3,1,0,60,3,1,14,108,0,0
133,21.0,1,1,2,0,1.0,4,1,0,2,0,0,0,0,0,0
134,15.0,1,4,1,0,3.0,99,0,11,0,0,0,0,0,0,0
135,24.5,0,2,5,0,1.0,4,0,0,0,0,0,0,0,0,0
136,70.0,1,2,1,0,3.0,4,1,10,0,0,0,0,0,0,0
137,32.5,0,1,7,1,2.0,4,1,14,72,NaN,1,12,0,1,0
138,13.0,1,4,7,0,2.0,99,0,15,0,0,0,0,0,0,0
139,42.5,0,4,1,0,2.0,1,1,17,2,1,1,18,0,0,0
140,42.5,1,1,5,1,1.0,4,1,21,0,0,0,0,0,0,0
141,13.0,0,2,2,1,1.0,99,1,30,1,0,0,0,0,0,0
142,42.5,0,3,1,0,1.0,1,1,17,104,2,1,13,0,0,0
143,32.5,1,2,1,0,3.0,1,1,14,104,5,1,15,0,0,0
144,27.5,1,4,2,0,3.0,1,1,12,363,NaN,0,0,0,0,0
145,42.5,1,4,1,0,2.0,1,1,0,156,4,1,36,60,1,0
146,13.0,0,4,6,0,1.0,99,0,0,0,0,0,0,0,0,0
147,42.5,0,2,7,1,3.0,2,1,21,48,6,0,0,0,0,0
148,27.5,0,2,2,0,1.0,1,1,17,24,0,0,0,0,0,0
149,32.5,1,2,7,0,3.0,1,1,17,5,0,1,21,0,0,0
150,70.0,0,2,1,0,2.0,4,1,16,0,0,1,38,0,0,0
151,70.0,0,2,1,0,1.0,4,1,17,52,1,0,0,0,0,0
152,22.5,1,4,1,0,2.0,1,1,14,365,7,1,18,0,0,0
153,15.0,0,3,6,0,2.0,99,0,16,0,0,1,Not sure,5,0,0
